id,priority,bucket,engine,mode,fen,notes,material_cp_white_minus_black,mode_options_applied,mode_options_missing,our_nnue_static_cp,our_classical_cp,our_eval_final_cp,internal_static_available,internal_static_error,internal_nnue_stm_cp,internal_nnue_white_cp,internal_classical_stm_cp,internal_classical_white_cp,internal_piece_count,uci_nnue_cp,uci_classical_cp,bestmove_final,score_volatility_cp,search_static_gap_d8_cp,suggested_class,sf_nnue_cp,sf_final_cp,sf_classical_cp,sf_bestmove_final,error,d4_score_cp,d4_score_raw,d4_bestmove,d4_nodes,d4_qnodes,d4_time_ms,sf_d4_score_cp,sf_d4_score_raw,sf_d4_bestmove,sf_d4_nodes,d6_score_cp,d6_score_raw,d6_bestmove,d6_nodes,d6_qnodes,d6_time_ms,sf_d6_score_cp,sf_d6_score_raw,sf_d6_bestmove,sf_d6_nodes,d8_score_cp,d8_score_raw,d8_bestmove,d8_nodes,d8_qnodes,d8_time_ms,sf_d8_score_cp,sf_d8_score_raw,sf_d8_bestmove,sf_d8_nodes,d10_score_cp,d10_score_raw,d10_bestmove,d10_nodes,d10_qnodes,d10_time_ms,sf_d10_score_cp,sf_d10_score_raw,sf_d10_bestmove,sf_d10_nodes
N01,P1,low_material_nmp,our_engine,no_lmr,8/8/8/3k4/3P4/3K1N2/8/8 w - - 0 1,Pawn opposition plus knight; NMP guard candidate,420,Enable LMR=false,,807,478,,True,,807,807,478,478,4,,,f3e5,416,595,unstable,,,,,,1047,cp:1047,d3c3,1040,,39,,,,,986,cp:986,f3e1,9024,,111,,,,,1402,cp:1402,f3e5,40328,,397,,,,,1327,cp:1327,f3e5,120956,,1063,,,,
N02,P1,low_material_nmp,our_engine,no_lmr,8/8/5n2/3k4/3P4/3K4/8/8 b - - 0 1,Pawn opposition plus black knight; NMP guard candidate,-220,Enable LMR=false,,10,229,,True,,10,-10,229,-229,4,,,f6g4,474,516,unstable,,,,,,36,cp:36,f6e8,1326,,41,,,,,52,cp:52,f6g4,5424,,75,,,,,526,cp:526,f6g4,43404,,434,,,,,867,cp:867,f6g4,86385,,814,,,,
N03,P1,low_material_nmp,our_engine,no_lmr,8/8/8/3k4/3P4/3K4/4B3/8 w - - 0 1,Pawn opposition plus bishop; NMP guard candidate,430,Enable LMR=false,,263,455,,True,,263,263,455,455,4,,,e2d1,298,1055,unstable,,,,,,916,cp:916,d3e3,1269,,43,,,,,1214,cp:1214,e2f3,7756,,109,,,,,1318,cp:1318,e2d1,44397,,429,,,,,1439,cp:1439,e2d1,132031,,1094,,,,
N04,P1,low_material_nmp,our_engine,no_lmr,8/8/8/3k4/3P4/3K4/8/4b3 b - - 0 1,Pawn opposition plus black bishop; NMP guard candidate,-230,Enable LMR=false,,21,247,,True,,21,-21,247,-247,4,,,e1f2,393,706,unstable,,,,,,47,cp:47,e1b4,1240,,44,,,,,334,cp:334,e1a5,12565,,142,,,,,727,cp:727,e1f2,31905,,329,,,,,663,cp:663,e1f2,145837,,1234,,,,
T01,P1,tactical_search,our_engine,no_lmr,r3k2r/p1ppqpb1/bn2pnp1/2pPN3/1p2P3/2N2Q2/PPPBBPPP/R3K2R w KQkq - 0 1,"Kiwipete-like, corrected to 8 black pawns",0,Enable LMR=false,,-17,390,,True,,-17,-17,390,390,32,,,e2a6,27,10,unclassified,,,,,,33,cp:33,e2a6,6939,,159,,,,,6,cp:6,e2a6,52603,,1011,,,,,-7,cp:-7,e2a6,127522,,2472,,,,,-5,cp:-5,e2a6,385302,,7360,,,,
T02,P1,tactical_search,our_engine,no_lmr,r2q1rk1/ppp2ppp/2n2n2/2bpp3/4P3/2NP1N2/PPP2PPP/R1BQ1RK1 w - - 0 1,Central tension capture sequence,0,Enable LMR=false,,14,-98,,True,,14,14,-98,-98,30,,,c1g5,97,98,unclassified,,,,,,52,cp:52,c1g5,5656,,107,,,,,63,cp:63,c1g5,19925,,329,,,,,112,cp:112,e4d5,135303,,2003,,,,,15,cp:15,c1g5,751144,,10757,,,,
T03,P1,tactical_search,our_engine,no_lmr,r1bq1rk1/ppp2ppp/2n2n2/3pp3/1b1PP3/2N2N2/PPP2PPP/R1BQKB1R w KQ - 0 1,"King-side pressure, uncastled king",0,Enable LMR=false,,-22,-123,,True,,-22,-22,-123,-123,32,,,f3e5,45,-129,unclassified,,,,,,-79,cp:-79,d4e5,4352,,87,,,,,-106,cp:-106,d4e5,28355,,448,,,,,-151,cp:-151,f3e5,116514,,1926,,,,,-153,cp:-153,f3e5,426189,,7096,,,,
T04,P1,tactical_search,our_engine,no_lmr,r2q1rk1/ppp2ppp/2n2n2/3pp3/1b1PP3/2N2N2/PPP2PPP/R1BQ1RK1 w - - 0 1,Exposed king / attacking compensation,0,Enable LMR=false,,24,4,,True,,24,24,4,4,30,,,c3d5,35,50,unclassified,,,,,,21,cp:21,f3e5,6475,,105,,,,,56,cp:56,c3d5,20676,,283,,,,,74,cp:74,c3d5,71348,,951,,,,,79,cp:79,c3d5,265903,,3432,,,,
T05,P1,tactical_search,our_engine,no_lmr,r1bq1rk1/ppp2ppp/2n2n2/3pp3/3PP3/2N2N2/PPP2PPP/R1BQ1RK1 w - - 0 1,Sacrifice-compensation candidate,0,Enable LMR=false,,19,10,,True,,19,19,10,10,30,,,d4e5,41,41,unclassified,,,,,,21,cp:21,c1g5,5883,,103,,,,,62,cp:62,d4e5,21002,,307,,,,,60,cp:60,d4e5,79005,,1056,,,,,84,cp:84,d4e5,246270,,3337,,,,
T06,P1,tactical_search,our_engine,no_lmr,r1bq1rk1/ppp2ppp/2n2n2/3pp3/1b1PP3/2N1BN2/PPP2PPP/R2QKB1R w KQ - 0 1,Pinned knight / central break candidate,0,Enable LMR=false,,-16,-71,,True,,-16,-16,-71,-71,32,,,f3e5,76,-117,unclassified,,,,,,-66,cp:-66,f3e5,3864,,82,,,,,-57,cp:-57,e4d5,28941,,522,,,,,-133,cp:-133,f3e5,196933,,3594,,,,,-131,cp:-131,f3e5,499014,,9065,,,,
